ID,Sex,Age,Education,Condition,GasBenefits,GasRisks,GasAccidents,GasControl,PresBenefits,PresRisks,PresAccidents,PresControl,NuclearBenefits,NuclearRisks,NuclearAccidents,NuclearControl,GasBenefitsPost,GasRisksPost,GasAccidentsPost,GasControlPost,PresBenefitsPost,PresRisksPost,PresAccidentsPost,PresControlPost,NuclearBenefitsPost,NuclearRisksPost,NuclearAccidentsPost,NuclearControlPost
4,F,20,3,HB,8,7,8,8,8,8,5,4,4,9,9,5,8,7,8,8,8,8,5,4,4,9,9,5
5,M,19,2,HB,8,3,2,8,4,8,8,5,8,9,8,5,6,3,2,8,6,8,4,5,6,8,4,4
6,M,19,1,HB,3,4,5,2,5,6,6,8,7,6,7,6,9,7,4,7,4,5,5,4,1,10,10,1
26,F,32,5,HB,6,3,7,3,7,4,3,7,2,9,7,1,7,3,6,4,6,6,4,7,3,8,7,2
27,M,21,3,HB,10,3,5,4,5,7,5,1,3,9,8,5,7,4,4,4,5,5,2,2,4,8,7,2
30,F,26,5,HB,6,3,3,7,5,5,3,10,5,6,5,4,6,3,3,7,5,5,3,10,5,6,5,4
33,F,20,4,HB,8,3,5,9,2,5,3,3,7,10,10,7,9,3,3,8,10,5,2,8,9,10,9,6
36,M,22,3,HB,8,5,5,6,3,8,4,3,4,7,7,5,9,6,5,6,5,5,4,5,5,7,7,5
43,M,21,4,HB,8,8,10,4,4,9,10,10,8,10,7,2,8,6,8,6,4,9,9,10,6,9,7,3
55,F,20,3,HB,6,4,5,4,8,6,5,5,1,10,10,10,8,5,5,4,9,5,5,4,1,10,10,10
59,M,19,2,HB,5,6,4,6,4,6,3,7,8,7,7,6,7,5,5,6,5,8,7,8,6,5,4,6
63,M,18,1,HB,8,6,4,7,6,5,3,8,9,8,8,6,8,6,4,7,6,5,3,8,9,8,8,6
67,F,25,5,HB,5,5,6,6,2,8,6,2,6,5,6,5,5,5,4,8,3,5,5,5,5,5,5,5
76,F,20,3,HB,5,5,5,3,8,3,3,2,5,6,8,2,8,3,3,2,9,3,2,2,8,6,3,3
81,F,21,4,HB,8,5,6,7,7,5,3,3,9,7,7,3,8,5,6,7,7,5,3,3,9,7,7,3
99,F,19,2,HB,7,6,3,3,4,7,7,6,5,7,7,4,10,2,2,8,9,8,1,9,5,4,8,3
105,F,21,4,HB,10,5,3,9,1,10,6,7,2,10,4,5,10,3,3,9,2,10,5,8,5,10,3,2
108,F,20,3,HB,8,6,3,1,5,8,2,1,10,10,6,1,9,4,4,2,9,6,3,1,6,10,9,1
117,M,19,2,HB,9,2,2,5,6,5,3,7,4,7,5,3,9,2,2,5,8,8,5,5,5,8,5,5
126,F,23,3,HB,8,5,5,7,5,8,4,8,5,10,8,3,9,4,4,8,8,3,3,9,8,7,5,3
128,F,22,4,HB,7,8,10,4,1,9,9,1,4,10,10,2,5,9,10,2,1,9,10,4,1,10,10,2
134,F,28,5,HB,7,2,2,5,2,9,7,1,4,10,10,1,8,2,2,2,5,6,5,2,5,10,10,1
136,M,21,4,HB,8,3,2,8,6,3,5,5,4,8,8,4,9,3,4,8,6,4,4,5,7,8,8,5
137,F,22,4,HB,5,5,5,5,2,8,7,4,2,8,8,1,5,4,4,4,3,8,7,2,3,9,9,1
138,M,21,4,HB,5,7,6,8,3,10,9,10,8,8,8,8,5,8,8,8,3,10,9,10,9,9,9,10
142,M,22,4,HB,6,4,2,8,3,5,3,6,5,8,6,2,7,4,2,6,8,2,1,6,4,9,7,1
144,F,31,5,HB,5,6,2,1,2,10,5,7,2,10,10,1,7,2,1,3,3,9,5,1,3,10,10,1
147,M,21,4,HB,10,4,4,7,6,7,8,6,3,9,8,4,9,4,3,7,7,7,6,6,4,8,6,4
151,F,19,1,HB,9,5,5,5,3,8,5,10,9,10,8,6,10,2,2,10,8,3,5,8,9,2,6,1
152,M,19,2,HB,6,5,2,6,8,6,4,5,9,10,8,2,9,3,3,3,8,2,2,4,9,7,5,2
153,F,21,4,HB,8,6,2,9,10,2,1,1,2,10,8,10,8,6,3,8,10,2,1,2,2,10,9,10
159,M,18,1,HB,6,4,3,7,4,5,3,8,4,7,9,3,7,3,3,7,7,2,2,8,8,6,7,6
205,M,22,4,HB,9,1,3,7,6,7,6,2,10,8,2,4,9,2,2,6,8,7,5,7,9,8,3,4
206,F,21,4,HB,10,4,2,1,7,8,5,1,8,8,7,1,10,1,1,5,10,5,1,5,10,7,7,1
208,F,19,4,HB,8,3,3,8,2,9,8,3,3,9,9,1,7,3,3,7,3,8,7,3,2,9,8,1
209,M,21,4,HB,7,3,3,6,8,3,2,2,5,6,7,5,7,3,4,6,6,4,4,6,6,4,7,4
214,F,20,3,HB,4,5,7,5,5,4,6,4,4,8,6,1,5,6,7,5,6,6,6,3,3,8,8,1
226,F,20,3,HB,5,7,8,5,4,8,8,3,3,10,10,1,4,8,9,5,5,8,8,2,3,10,10,1
241,M,20,3,HB,8,6,3,5,5,9,7,3,8,10,3,3,8,5,2,3,8,7,6,2,9,10,5,2
244,M,25,3,HB,8,3,2,9,3,7,5,2,1,10,9,1,10,5,4,8,5,8,6,2,3,10,8,2
246,F,19,2,HB,5,6,7,5,7,7,7,7,3,10,10,1,5,8,8,4,7,7,3,4,3,10,10,1
248,F,20,2,HB,8,4,5,6,1,10,6,3,1,10,10,1,8,4,4,6,1,10,4,2,1,10,10,1
255,F,23,2,HB,9,6,5,8,2,9,7,4,4,10,9,3,10,5,5,7,4,7,4,1,6,9,8,4
257,F,20,3,HB,7,2,2,7,9,1,1,8,3,2,4,2,9,2,3,7,9,2,1,7,6,2,3,2
259,F,18,1,HB,9,1,3,6,8,2,2,7,6,5,5,3,9,1,2,7,8,2,4,9,7,6,8,1
264,M,22,3,HB,7,3,4,2,8,3,2,3,3,9,7,5,8,3,3,2,8,4,3,4,4,9,4,4
267,F,18,1,HB,10,8,10,7,8,10,9,6,5,10,9,5,10,10,10,4,10,10,10,3,10,10,10,3
269,M,23,3,HB,8,8,2,7,3,9,5,1,1,10,10,1,4,5,4,6,2,10,5,1,1,10,10,1
270,F,20,3,HB,2,3,2,3,2,2,2,2,3,2,2,3,5,2,2,5,2,9,7,2,2,2,2,2
272,M,20,3,HB,6,3,3,7,7,3,1,9,8,6,4,8,6,3,3,7,8,3,1,8,9,4,2,8
276,M,19,2,HB,10,8,4,6,8,3,6,7,1,10,10,3,9,3,2,8,8,3,2,9,3,10,10,4
282,M,21,3,HB,6,4,4,5,6,6,6,7,8,3,2,7,7,4,4,6,7,5,5,4,7,4,4,7
9,M,19,2,HR,5,5,5,8,9,4,3,3,5,9,9,4,5,8,9,3,8,5,4,3,5,9,9,4
10,F,19,2,HR,8,9,9,3,4,7,6,8,5,10,9,5,8,9,9,3,4,7,6,8,5,10,9,5
12,F,18,1,HR,7,2,5,5,9,5,2,7,8,8,8,8,6,8,8,8,7,3,4,7,7,9,8,7
15,M,21,4,HR,9,3,4,3,9,2,1,1,5,9,8,1,6,8,9,2,4,8,3,1,2,10,9,1
17,M,19,2,HR,9,7,5,4,8,5,4,8,9,9,7,8,9,4,4,7,6,7,7,8,9,8,6,7
23,F,19,2,HR,8,2,6,6,7,6,8,8,1,10,8,10,8,2,6,6,7,6,8,8,1,10,8,10
29,M,19,2,HR,8,4,8,5,3,6,7,3,4,10,10,1,6,7,9,2,2,9,8,1,2,10,10,1
31,M,19,2,HR,4,5,10,8,7,3,3,6,5,10,5,2,4,9,9,3,6,6,7,4,6,10,7,5
40,M,19,1,HR,8,5,7,5,7,6,7,4,6,7,8,5,8,8,9,6,7,5,3,7,7,9,10,3
41,M,21,4,HR,9,2,3,8,8,4,2,4,9,6,7,6,9,6,6,6,8,4,3,4,8,5,6,4
48,M,21,3,HR,7,5,5,1,1,10,10,1,4,10,10,1,3,8,10,1,1,10,10,1,2,10,10,1
52,F,24,5,HR,5,5,10,9,5,7,7,8,3,10,10,10,2,10,10,10,2,10,10,10,1,10,10,10
53,F,21,3,HR,4,5,3,5,8,5,2,7,8,5,5,6,7,5,6,4,7,4,3,4,8,5,5,6
58,F,20,3,HR,5,3,7,7,8,1,1,6,10,4,7,8,5,5,7,8,8,3,3,8,8,4,7,8
65,F,19,2,HR,4,5,4,6,3,4,2,9,5,4,3,6,5,7,5,7,3,3,1,5,4,7,4,7
70,F,21,3,HR,7,2,2,4,6,3,1,1,4,3,3,1,5,5,3,3,6,3,2,2,4,3,2,2
72,F,18,1,HR,3,3,5,7,5,6,5,7,3,9,9,9,5,8,10,8,5,8,7,5,3,10,10,3
74,M,20,3,HR,8,3,5,9,7,4,2,8,9,8,7,8,3,8,8,8,7,4,2,8,7,8,8,7
75,M,21,3,HR,8,2,2,8,8,4,6,7,7,10,9,5,8,4,3,8,7,5,4,7,7,10,9,2
95,M,22,3,HR,7,7,9,7,8,8,7,5,3,10,7,1,4,8,9,3,3,9,7,2,4,9,7,7
97,F,21,3,HR,6,4,4,7,5,7,6,7,4,10,10,1,6,6,6,8,3,5,7,4,3,8,8,2
101,M,23,3,HR,8,2,3,9,8,2,8,3,4,5,3,1,9,3,2,8,9,3,2,2,5,2,1,2
109,M,21,4,HR,8,1,2,6,10,2,1,6,8,10,9,2,3,7,6,9,7,4,1,5,10,8,3,6
111,M,19,2,HR,5,5,4,3,6,6,8,7,7,4,4,8,6,5,4,7,7,7,4,7,7,4,3,8
116,F,19,2,HR,9,2,3,5,3,6,8,7,7,7,5,6,9,4,4,6,4,5,6,6,6,8,3,3
121,M,24,5,HR,9,2,4,3,6,5,5,3,7,9,8,2,9,4,4,3,6,5,7,4,7,8,7,3
123,F,22,4,HR,5,3,2,5,5,5,3,7,3,8,6,1,6,8,8,2,5,5,4,1,5,10,7,2
127,M,21,4,HR,7,5,3,5,4,9,7,5,5,7,9,6,5,8,7,7,5,8,3,7,5,7,6,6
132,F,18,1,HR,5,4,6,5,4,3,6,5,3,3,8,7,5,4,7,5,3,3,7,3,3,8,8,1
133,M,22,2,HR,3,3,3,8,4,8,3,9,2,9,8,4,3,3,6,5,2,8,3,7,2,10,9,1
139,M,28,4,HR,7,5,7,4,4,8,8,1,1,10,10,1,7,6,7,4,4,8,7,3,1,10,10,1
140,M,22,3,HR,5,2,4,8,7,6,2,2,3,10,7,1,3,5,6,5,4,6,3,5,2,10,10,1
143,F,21,3,HR,7,4,6,5,8,8,8,7,3,9,8,7,8,7,8,3,4,8,9,5,3,10,10,8
145,M,22,4,HR,6,1,1,9,1,1,1,1,10,10,4,5,8,5,6,6,1,2,1,8,8,8,7,6
150,M,18,1,HR,7,4,2,6,4,7,6,6,10,8,6,1,8,5,3,3,7,5,4,3,9,8,6,1
174,M,25,2,HR,4,5,8,7,10,4,5,5,7,6,4,7,4,5,8,7,10,4,5,5,7,6,4,7
200,F,19,2,HR,7,5,5,2,5,6,6,6,7,8,9,1,6,5,6,3,5,4,6,6,7,7,7,1
203,F,22,5,HR,5,5,4,8,4,8,7,9,5,5,5,5,8,9,7,6,9,9,9,10,10,10,10,10
204,M,23,4,HR,8,1,1,8,5,6,4,5,2,10,8,2,5,3,5,5,4,5,4,4,2,9,7,2
212,F,25,4,HR,9,4,5,8,1,10,10,2,8,8,10,6,9,4,5,8,1,10,10,1,9,8,10,3
227,M,19,2,HR,6,4,3,7,6,4,3,2,7,7,3,2,7,6,4,2,8,8,5,8,9,7,5,1
231,M,22,4,HR,7,5,5,7,4,8,8,1,4,10,5,4,5,7,7,5,4,8,7,1,3,8,5,5
233,M,19,1,HR,5,4,6,3,4,6,3,5,4,4,6,4,3,6,7,3,6,3,3,4,3,6,6,4
238,M,19,2,HR,10,3,6,5,10,1,1,4,5,7,7,7,5,7,8,5,8,4,4,6,5,7,6,7
250,F,19,2,HR,7,8,10,4,7,7,6,3,4,10,10,1,7,10,10,5,6,8,7,6,6,10,9,4
251,M,18,1,HR,7,3,8,7,2,8,10,7,1,10,10,1,4,7,10,5,3,8,10,2,1,10,10,1
252,F,19,2,HR,6,7,9,5,6,8,7,6,5,9,10,8,5,9,10,4,5,9,9,3,5,9,9,3
261,M,21,3,HR,5,10,8,4,7,8,6,6,1,10,6,1,5,9,6,5,7,8,6,7,5,10,8,1
268,M,19,2,HR,6,9,8,6,5,5,3,6,10,9,5,1,5,9,7,4,6,9,9,4,10,10,8,1
277,F,19,2,HR,10,2,4,3,5,5,7,10,5,10,10,1,5,5,9,1,3,10,8,10,3,10,10,2
279,F,27,5,HR,8,1,4,9,3,8,1,4,4,9,8,3,9,3,3,8,5,7,4,4,3,8,8,3
281,M,27,3,HR,8,3,6,4,6,4,2,1,2,9,5,2,8,4,7,2,8,3,5,2,3,9,5,1
2,M,19,2,LB,6,4,4,6,3,8,7,3,7,7,7,3,6,4,6,3,4,8,7,3,4,6,6,3
3,F,25,3,LB,5,7,5,6,5,5,5,6,7,6,7,4,5,7,5,6,5,5,5,6,7,6,7,4
8,F,20,3,LB,6,4,7,7,8,3,2,9,6,9,10,6,3,5,5,8,7,3,2,9,5,9,8,4
22,F,20,3,LB,8,6,6,6,6,7,5,5,8,4,5,5,5,5,6,5,5,5,4,7,5,5,6,6
32,F,19,2,LB,3,7,5,6,4,7,6,6,8,4,5,2,3,7,5,6,4,7,6,6,8,4,5,2
37,M,28,3,LB,8,3,4,7,6,9,7,8,2,10,10,1,8,2,3,4,5,9,7,10,1,10,10,1
38,F,18,1,LB,7,6,8,4,8,4,8,8,10,10,7,6,8,8,4,9,4,5,2,2,8,7,6,3
45,F,19,2,LB,8,4,5,6,5,9,10,8,1,10,10,5,8,4,5,6,5,9,9,8,1,10,10,5
46,F,20,3,LB,8,3,5,8,8,3,1,6,8,10,9,6,8,5,8,6,6,2,2,8,6,6,6,6
49,M,24,5,LB,7,4,3,8,7,3,2,3,7,3,2,5,7,4,2,5,7,2,1,3,8,3,2,4
56,M,21,3,LB,4,2,6,5,3,4,5,3,1,10,10,2,2,4,4,5,7,4,4,7,1,10,10,2
57,F,21,4,LB,7,3,2,3,6,1,1,9,4,7,7,5,5,3,3,7,3,3,1,8,3,7,4,5
61,F,20,3,LB,7,3,5,5,6,8,5,5,5,8,5,5,4,4,6,5,3,5,4,5,2,8,7,5
64,M,26,4,LB,7,6,4,7,8,6,4,7,7,3,8,8,4,6,6,7,6,5,5,8,5,8,8,8
66,F,18,1,LB,8,5,4,5,5,5,3,1,5,10,10,1,5,5,7,2,3,7,5,1,2,10,9,1
69,M,20,3,LB,7,4,4,8,1,7,3,7,5,8,9,6,6,4,4,8,2,5,2,4,4,7,8,4
71,F,17,1,LB,5,5,7,5,7,7,5,6,5,8,7,4,5,5,7,5,7,7,5,6,5,6,5,4
73,F,21,4,LB,8,5,6,6,5,5,2,7,5,10,7,5,5,5,2,5,3,3,1,10,2,10,6,10
94,F,23,2,LB,10,5,5,9,3,10,6,10,2,10,10,7,10,5,5,9,3,10,6,10,2,10,10,7
102,F,18,1,LB,5,2,2,8,5,8,8,7,2,10,10,1,7,2,4,5,6,7,8,8,3,10,9,1
103,F,18,1,LB,5,2,2,8,4,7,3,8,2,9,9,2,7,2,4,5,1,9,7,1,1,10,8,2
106,M,20,3,LB,9,4,4,7,7,3,3,7,7,7,7,5,7,5,5,6,7,4,4,7,6,7,6,6
107,F,20,2,LB,8,5,6,3,3,4,1,5,1,10,8,2,5,6,3,5,8,7,9,5,2,8,4,6
110,M,18,1,LB,5,5,6,8,7,4,8,5,6,4,7,4,7,3,1,9,5,7,3,5,5,5,10,6
113,M,20,2,LB,8,3,2,5,9,4,2,4,8,9,7,6,6,3,3,5,8,4,3,5,4,8,8,6
119,F,20,3,LB,9,3,3,4,5,5,2,7,7,9,8,4,8,3,3,5,5,5,3,7,7,9,8,4
124,M,24,3,LB,7,5,2,5,3,7,5,8,2,10,5,2,5,4,3,7,5,7,7,8,4,10,8,2
125,M,19,2,LB,8,4,2,7,8,5,3,5,3,4,5,4,8,4,2,7,8,5,3,5,3,4,5,4
129,F,19,2,LB,10,4,8,8,5,9,10,5,3,10,10,4,8,3,4,7,2,10,10,4,7,10,10,6
141,F,19,2,LB,5,5,6,8,3,8,8,4,5,8,8,8,2,2,4,2,2,6,4,3,2,9,8,3
146,M,21,4,LB,7,5,4,3,3,7,4,8,6,7,5,5,4,4,5,3,4,4,3,9,5,4,4,6
160,F,18,1,LB,8,4,5,7,6,6,3,5,2,10,7,3,5,5,4,6,4,6,3,4,2,10,9,4
193,F,20,3,LB,7,3,3,8,10,8,8,4,6,7,4,1,6,2,1,8,8,7,10,1,6,6,3,1
197,F,19,2,LB,6,4,3,7,6,4,2,4,4,6,5,7,7,4,4,7,6,3,2,6,6,4,4,5
201,F,19,2,LB,4,7,1,9,10,2,1,3,1,10,8,1,3,7,2,7,6,3,1,3,1,8,10,1
202,M,18,1,LB,9,2,10,8,6,3,1,1,10,9,5,1,9,2,9,5,3,2,1,3,7,8,3,1
211,F,21,4,LB,7,3,4,2,3,8,7,4,1,10,8,1,5,5,7,4,5,8,7,3,3,10,9,1
229,F,20,3,LB,8,4,3,5,7,5,3,8,6,8,9,2,6,3,6,7,8,2,2,8,5,7,7,6
235,F,19,2,LB,5,4,6,2,8,3,3,2,1,10,9,3,8,5,7,4,8,5,7,2,1,10,8,4
239,F,24,4,LB,8,6,6,7,3,10,10,10,5,10,8,1,9,2,2,2,2,10,10,10,3,4,5,1
242,M,21,3,LB,8,3,4,7,4,9,2,7,9,9,8,7,8,4,6,7,3,8,2,2,7,9,9,3
247,F,31,2,LB,8,5,5,7,7,6,3,4,2,10,10,1,8,5,5,7,7,6,3,4,2,10,10,1
249,F,18,1,LB,8,6,7,5,3,3,2,1,2,10,7,6,8,7,8,3,3,6,4,1,5,10,9,5
253,F,19,3,LB,6,9,9,3,2,7,3,8,2,9,9,5,6,9,9,3,2,7,3,8,2,9,9,5
254,F,21,3,LB,9,7,5,5,2,10,7,3,2,10,10,8,9,5,7,6,3,10,9,9,1,10,10,9
262,F,21,4,LB,10,3,5,8,1,7,3,5,5,5,7,4,2,7,6,4,5,5,3,4,3,7,9,3
263,F,19,2,LB,5,6,6,5,2,6,6,4,1,10,10,6,6,6,6,3,1,5,5,7,1,10,10,3
265,M,23,3,LB,6,4,5,7,5,3,2,9,10,9,6,4,5,4,4,8,5,4,2,9,9,10,6,2
271,M,20,3,LB,9,5,5,9,7,4,4,7,7,10,9,3,7,8,8,4,4,4,3,5,7,9,9,3
280,F,21,4,LB,9,5,3,6,5,5,1,1,3,8,8,1,8,6,8,1,5,3,1,1,5,8,8,1
1,F,21,4,LR,5,5,5,5,1,10,10,1,1,10,10,1,5,5,5,5,1,10,10,1,1,10,10,1
16,F,20,3,LR,8,5,3,7,6,9,7,8,9,10,9,6,8,4,4,9,6,8,7,7,9,9,9,6
18,M,19,2,LR,9,5,3,8,8,4,3,9,8,4,6,8,8,3,5,8,7,4,4,8,7,5,5,8
19,M,18,1,LR,7,3,3,5,9,5,4,4,7,6,5,5,8,1,2,5,8,3,2,4,8,5,3,5
24,M,19,1,LR,5,3,4,6,4,6,8,3,6,3,2,4,5,3,6,3,3,6,4,6,7,8,6,3
25,M,24,4,LR,6,3,6,8,5,7,5,3,7,7,6,4,7,3,4,7,4,6,3,3,7,7,5,3
28,M,21,4,LR,8,5,4,9,3,2,1,2,8,3,5,3,8,5,3,8,2,2,2,3,8,5,5,5
34,M,19,1,LR,7,3,4,7,7,4,7,4,6,3,4,7,9,3,5,9,5,7,7,4,4,7,9,5
39,M,19,2,LR,2,3,3,6,8,3,2,5,7,1,5,6,5,2,8,4,7,4,1,3,5,5,5,4
42,F,18,1,LR,5,4,5,7,5,5,4,7,5,8,9,7,7,2,3,8,6,4,3,10,5,5,4,10
44,F,21,3,LR,10,3,4,8,4,5,5,10,2,10,10,2,10,2,2,9,7,5,3,8,3,10,8,3
47,F,20,3,LR,10,5,7,5,6,7,3,5,10,10,10,4,10,5,3,8,9,7,3,7,10,10,10,5
50,M,19,2,LR,10,1,1,9,2,7,3,8,6,8,4,9,9,3,3,8,9,4,4,8,8,7,4,9
51,F,19,3,LR,3,3,3,2,3,9,9,7,2,10,10,1,8,2,2,8,3,8,8,7,2,9,9,2
60,M,22,3,LR,10,3,10,10,7,8,7,6,3,10,10,6,10,2,6,10,9,2,2,8,3,10,10,1
62,M,23,4,LR,3,5,5,6,2,9,10,2,6,6,7,6,6,5,6,6,8,9,7,2,6,6,8,8
68,F,21,3,LR,10,1,4,6,7,2,4,4,3,9,7,4,9,2,7,8,8,3,6,6,8,2,5,7
86,F,20,3,LR,5,6,4,5,7,4,3,3,4,7,6,5,7,3,2,7,8,3,2,2,4,6,5,5
89,F,19,2,LR,5,5,9,8,9,5,5,5,10,10,10,10,7,4,8,8,9,3,2,5,9,9,9,9
92,F,20,2,LR,10,5,6,7,10,6,4,4,8,9,7,3,10,2,2,10,10,3,2,5,8,3,5,3
93,M,32,5,LR,10,1,2,5,5,5,2,7,10,2,2,6,10,1,2,5,5,5,2,7,10,2,2,6
96,F,22,2,LR,7,5,10,9,5,7,2,1,6,9,10,4,8,5,9,8,4,7,4,1,6,10,10,2
100,F,20,3,LR,6,4,2,9,9,2,2,9,7,6,3,8,9,2,2,9,10,2,1,9,9,3,2,8
114,F,20,3,LR,10,3,3,7,8,5,7,4,6,5,5,4,8,2,2,8,10,2,2,2,9,4,2,4
115,M,19,1,LR,8,2,2,4,6,5,4,5,4,8,6,5,8,2,3,5,8,2,3,5,3,6,6,5
120,F,29,3,LR,10,3,6,10,1,4,1,10,1,10,10,1,10,1,1,10,5,1,1,10,5,3,5,5
122,F,21,4,LR,6,4,5,8,8,5,3,4,2,9,8,1,8,2,3,6,8,2,2,2,2,9,8,1
130,M,18,1,LR,4,9,6,4,2,8,7,3,6,8,6,8,6,7,4,6,5,6,5,8,7,7,6,8
131,M,21,4,LR,7,6,5,7,5,6,8,7,6,6,7,6,7,5,7,8,8,7,8,9,6,7,6,7
148,M,24,4,LR,6,4,6,8,2,7,7,6,6,5,3,9,8,3,2,8,7,4,4,7,6,4,3,9
149,F,20,3,LR,7,4,4,3,3,6,4,7,3,8,7,2,8,2,4,7,4,6,6,4,3,7,6,3
156,F,19,2,LR,9,5,4,7,5,8,4,10,6,9,7,3,9,4,4,5,8,4,4,4,8,8,6,3
157,M,19,2,LR,8,3,6,7,5,5,4,6,5,7,4,7,6,4,3,4,10,9,10,6,5,7,4,6
158,M,19,2,LR,5,5,5,5,6,7,2,2,7,7,9,2,5,5,5,5,6,7,2,2,7,7,9,2
194,M,18,1,LR,8,2,3,5,3,6,3,4,4,9,5,2,8,2,3,5,5,3,2,6,5,6,6,3
198,F,20,3,LR,8,4,3,9,6,7,5,2,1,10,10,1,9,2,2,9,7,2,4,1,4,9,6,1
213,F,22,4,LR,8,1,2,5,1,9,10,10,1,10,10,1,10,1,1,9,1,8,7,10,1,10,10,1
217,M,20,3,LR,8,3,5,8,10,2,1,10,8,7,8,6,8,5,3,5,10,5,1,8,8,8,8,3
228,F,22,5,LR,8,5,4,4,6,6,2,8,7,8,8,1,9,4,2,4,8,3,2,8,8,7,6,2
237,M,22,4,LR,9,3,3,8,4,8,5,7,9,7,8,4,9,2,2,9,9,3,3,8,9,4,4,8
240,M,19,2,LR,8,2,5,5,3,6,3,7,2,9,7,2,8,2,3,6,7,2,3,5,4,6,5,3
243,F,20,2,LR,1,10,10,3,1,10,10,10,1,10,10,1,1,10,8,9,3,10,10,10,1,10,10,1
245,M,21,1,LR,5,6,7,7,6,5,6,6,4,6,8,8,4,3,4,3,4,3,3,5,8,7,8,9
256,F,18,1,LR,7,6,7,8,4,7,4,8,5,10,10,8,8,5,8,7,8,4,2,9,4,5,6,7
260,F,24,4,LR,7,7,5,3,5,7,6,3,4,8,8,2,7,6,6,7,5,8,5,3,6,9,8,2
273,M,20,3,LR,5,3,4,4,5,2,3,10,3,6,7,3,5,2,2,3,5,1,1,10,4,5,6,4
274,M,23,4,LR,8,4,3,2,7,8,6,1,,,,,8,3,2,2,6,7,6,1,7,7,6,2
275,M,26,5,LR,8,3,3,7,6,5,3,5,6,8,5,3,8,3,2,7,6,5,4,5,6,7,6,3
278,M,23,4,LR,7,3,3,8,6,3,1,10,5,5,2,1,7,3,2,8,7,3,1,10,6,4,2,2