HW,Student,Score
1,1,18
1,2,20
1,3,19
1,4,17
1,5,6
1,6,15
1,7,18
1,8,18.5
1,9,15
1,10,19
1,11,19
1,12,18
1,13,19
1,14,17
1,15,17.5
1,16,19.5
1,17,19.5
1,18,16.5
1,19,18.5
1,20,17
1,21,18.5
1,22,15.5
1,23,10.5
1,24,19
1,25,17
1,26,16.5
1,27,18
1,28,17.5
1,29,20
1,30,19.5
1,31,13.5
1,32,18.5
1,33,19
1,34,20
1,35,19.5
1,36,20
2,1,13.5
2,2,17
2,3,17.5
2,4,19
2,5,18.5
2,6,13.5
2,7,18.5
2,8,17.5
2,9,16.5
2,10,17
2,11,17.5
2,12,17
2,13,16
2,14,17.5
2,15,18.5
2,16,19.5
2,17,18
2,18,19.5
2,19,17
2,20,16
2,21,15.5
2,24,19
2,25,17.5
2,26,14.5
2,27,18
2,28,13
2,29,16
2,30,19.5
2,31,15
2,32,19
2,33,19
2,34,19.5
2,35,17.5
2,36,19.5
3,1,19.5
3,2,17
3,3,17
3,4,19
3,5,15
3,6,15.5
3,7,19
3,8,17
3,9,19
3,10,14.5
3,11,19
3,12,20
3,13,19.5
3,14,18.5
3,15,19
3,16,18
3,17,16.5
3,18,19.5
3,19,20
3,20,20
3,21,14
3,22,11
3,24,20
3,25,20
3,26,19.5
3,27,18
3,28,19
3,29,19.5
3,30,17
3,32,18
3,33,20
3,34,19.5
3,35,17
3,36,19.5
4,1,16.5
4,2,19
4,3,19
4,4,20
4,6,16.5
4,7,18
4,8,18
4,9,19.5
4,10,16.5
4,11,17.5
4,12,18
4,13,20
4,14,19.5
4,15,19
4,16,18
4,17,19
4,18,19
4,19,18
4,20,19.5
4,21,18.5
4,22,18
4,23,14.5
4,24,18.5
4,25,19.5
4,26,19
4,27,20
4,28,18.5
4,29,17
4,30,19.5
4,31,20
4,32,19
4,33,20
4,34,19.5
4,35,19
4,36,18.5
5,1,17
5,2,19.5
5,3,19
5,4,20
5,5,19.5
5,7,18
5,8,18
5,9,18
5,10,19
5,11,18.5
5,12,19
5,13,17
5,14,18
5,15,17
5,16,19.5
5,17,18.5
5,18,20
5,19,16.5
5,20,19
5,22,14.5
5,24,19.5
5,25,19
5,26,18
5,27,18.5
5,28,15.5
5,29,18
5,30,19
5,31,19
5,32,17
5,33,19.5
5,34,18
5,35,18
5,36,17.5
6,1,17.5
6,2,17
6,3,14.5
6,4,19
6,6,15.5
6,7,20
6,8,18
6,9,16.5
6,10,16.5
6,11,19.5
6,12,16
6,13,15.5
6,14,19
6,15,17
6,16,17.5
6,17,17
6,18,18
6,19,18.5
6,20,19
6,22,17.5
6,24,15.5
6,25,18
6,26,18
6,27,17.5
6,28,17
6,29,17.5
6,30,18.5
6,31,15
6,32,19.5
6,33,19
6,34,18.5
6,35,17.5
6,36,19
7,1,15
7,2,19
7,3,18
7,4,19
7,6,13.5
7,7,17.5
7,8,15
7,9,15.5
7,10,14.5
7,11,17
7,12,16
7,13,15.5
7,14,15.5
7,15,18.5
7,16,14
7,18,16.5
7,19,10
7,20,16.5
7,22,10.5
7,24,16
7,25,19.5
7,26,15.5
7,27,16.5
7,28,15
7,29,16.5
7,30,15
7,31,16.5
7,32,16
7,33,19
7,34,17.5
7,35,13.5
7,36,17.5
8,1,19.5
8,2,17
8,3,17.5
8,4,19.5
8,6,14.5
8,7,17.5
8,8,18
8,9,12.5
8,10,11
8,11,20
8,12,19.5
8,13,19
8,14,18.5
8,15,19.5
8,16,14.5
8,18,18.5
8,19,10
8,20,20
8,22,17.5
8,24,18.5
8,26,16.5
8,27,20
8,28,14.5
8,29,18.5
8,30,20
8,31,20
8,32,17.5
8,33,20
8,34,16
8,35,17
8,36,19
9,1,16
9,2,20
9,3,18.5
9,4,20
9,6,17
9,7,19
9,8,17.5
9,9,16.5
9,11,18.5
9,12,16
9,13,17
9,14,19.5
9,15,19.5
9,16,16
9,18,18.5
9,19,9
9,20,19
9,22,17.5
9,24,16
9,25,20
9,26,19
9,27,17
9,28,19
9,29,18.5
9,30,19.5
9,31,18
9,32,18.5
9,33,19
9,34,19.5
9,35,19
9,36,17
10,1,17
10,2,19.5
10,3,20
10,4,19.5
10,6,16.5
10,7,18
10,8,18
10,9,13
10,10,17
10,11,18.5
10,12,20
10,13,17.5
10,14,18.5
10,15,19
10,16,20
10,18,19.5
10,19,10
10,20,19.5
10,22,17.5
10,24,19
10,25,20
10,26,19.5
10,27,19
10,28,16
10,29,20
10,30,16.5
10,31,20
10,32,20
10,33,19.5
10,34,19.5
10,35,19.5
10,36,19
11,1,19
11,2,18.5
11,3,17
11,4,19
11,6,13.5
11,7,16
11,8,19.5
11,9,9
11,10,16.5
11,11,20
11,12,18
11,13,18.5
11,14,19
11,15,19.5
11,16,18
11,18,19
11,19,15
11,20,20
11,22,13.5
11,24,19.5
11,25,20
11,26,18
11,27,17.5
11,28,15.5
11,29,17.5
11,30,14.5
11,31,20
11,32,13
11,33,19
11,34,18
11,35,18.5
11,36,17.5
12,1,15.5
12,2,18.5
12,3,19
12,4,20
12,6,18.5
12,7,17
12,8,15.5
12,9,15
12,10,15.5
12,11,17.5
12,12,19
12,13,16
12,14,18
12,15,20
12,16,17
12,18,17.5
12,20,17
12,22,15.5
12,24,18.5
12,25,16.5
12,26,15.5
12,27,14
12,28,14
12,29,19
12,30,16
12,31,20
12,32,18
12,33,20
12,34,18.5
12,35,18
12,36,17.5
,,
,,17.64086294
,,2.138602018
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,