Group,IntuitivePsych,IntPhys,IQ,,,
1,20,8,98,,,
1,23,10,100,,,
1,18,7,92,,,
1,17,7,129,,,
1,25,9,114,,,
1,19,10,96,,,
1,18,7,95,,,
1,21,11,89,,,
1,24,10,105,,,
1,20,9,107,,,
1,16,13,108,,,
1,14,8,98,,,
1,22,12,101,,,
1,24,12,102,,,
1,22,11,100,,,
1,16,14,94,,,
1,18,8,92,,,
1,26,14,97,,,
1,20,11,95,,,
1,20,9,106,,,
1,24,12,115,,,
1,18,9,94,,,
1,12,10,114,,,
1,23,8,101,,,
1,23,13,130,,,
1,16,7,90,,,
1,17,10,106,,,
1,25,8,95,,,
1,21,7,91,,,
2,21,11,103,,,
2,20,9,100,,,
2,19,9,96,,,
2,22,13,111,,,
2,24,15,124,,,
2,26,8,127,,,
2,16,11,113,,,
2,19,10,101,,,
2,23,14,102,,,
2,22,12,94,,,
2,17,8,94,,,
2,13,7,99,,,
2,15,11,102,,,
2,20,9,90,,,
2,24,13,111,,,
2,22,10,102,,,
2,27,15,98,,,
2,21,8,98,,,
2,23,10,95,,,
2,17,9,92,,,
2,18,8,97,,,
2,24,6,87,,,
2,22,16,128,,,
3,16,7,96,,,
3,15,6,103,,,
3,15,13,88,,,
3,12,6,116,,,
3,10,6,82,,,
3,19,7,89,,,
3,8,9,103,,,
3,23,11,109,,,
3,10,14,124,,,
3,14,5,86,,,
3,17,2,94,,,
3,21,12,103,,,
3,18,8,105,,,
3,9,7,90,,,
3,11,7,84,,,
3,18,0,92,,,
3,24,8,97,,,
3,17,12,112,,,
3,17,14,103,,,
3,18,10,83,,,
3,18,9,91,,,
3,26,8,102,,,
3,22,6,79,,,
3,17,4,91,,,
3,13,9,84,,,
3,25,10,94,,,
3,20,10,124,,,
3,12,13,82,,,